size,rank,NX,omp_threads,setup_time,comm_time,comp_time
16,3,1000,1,0.188557,0.275246,0.585232
16,3,1000,2,0.199221,0.232590,0.294970
16,3,1000,32,0.196970,0.079151,0.030507
16,3,1000,4,0.221522,0.177900,0.149724
16,3,1000,8,0.202997,0.173526,0.077347
16,4,10000,16,0.262803,8.923186,4.311250
16,4,10000,1,0.244071,10.083932,60.078707
16,4,10000,2,0.229892,10.024859,30.238872
16,4,10000,32,0.219544,6.786969,4.067450
16,4,10000,4,0.228183,9.823734,15.299697
16,4,10000,8,0.227846,9.509048,7.806683
16,4,1000,16,0.222956,0.084302,0.043931
16,4,1000,1,0.188538,0.275891,0.584571
16,4,1000,2,0.199191,0.232558,0.294934
16,4,1000,32,0.196850,0.078713,0.030945
16,4,1000,4,0.221529,0.177834,0.149718
16,4,1000,8,0.203135,0.173199,0.077704
16,5,10000,16,0.262653,8.908070,4.326326
16,5,10000,1,0.244071,9.619793,60.543104
16,5,10000,2,0.229140,9.688606,30.575315
16,5,10000,32,0.219595,6.751656,4.103009
16,5,10000,4,0.228193,9.573584,15.550143
16,5,10000,8,0.227785,9.367858,7.947887
16,5,1000,16,0.222970,0.084560,0.043715
16,5,1000,1,0.188601,0.276179,0.584326
16,5,1000,2,0.199113,0.232993,0.294502
16,5,1000,32,0.196924,0.077345,0.032310
16,5,1000,4,0.221341,0.178224,0.149408
16,5,1000,8,0.203044,0.173231,0.077642
16,6,10000,16,0.262753,8.902612,4.331854
16,6,10000,1,0.244036,9.527534,60.635319
16,6,10000,2,0.229849,9.743541,30.520376
16,6,10000,32,0.219485,6.757720,4.096661
16,6,10000,4,0.228059,9.689292,15.434286
16,6,10000,8,0.227733,9.352265,7.963376
16,6,1000,16,0.223145,0.084623,0.043661
16,6,1000,1,0.188793,0.275554,0.584914
16,6,1000,2,0.199278,0.232942,0.294628
16,6,1000,32,0.197028,0.078218,0.031415
16,6,1000,4,0.221484,0.178006,0.149525
16,6,1000,8,0.203095,0.173276,0.077589
16,7,10000,16,0.262773,8.896655,4.337822
16,7,10000,1,0.244022,9.358857,60.804160
16,7,10000,2,0.229954,9.293206,30.970951
16,7,10000,32,0.219655,6.783268,4.071171
16,7,10000,4,0.228038,9.668077,15.455650
16,7,10000,8,0.227924,9.426858,7.888867
